SiteID,SiteName,Country,StateProvince,County,USGS_Quad,HUC,FeatureID,LandUnit,LandUnitDetail,ProclaimedNF,LCC,PublicInfo,InfoSource,InfoSourceDet,MagDev,AccessDescript,SiteDescription,AKA,GeorefSource,Datum,UTM_Zone,GPS_Unit,UTME,UTMN,LatDeg,LatMin,LatSec,LongDeg,LongMin,LongSec,LatitudeDD,LongitudeDD,ElevationM,EPE_M,Georef_Comments,SpringType1,SpringType2,LithoPrimary,LithoSecondary,GeoLayer,EmergenceEnvironment,EmergenceEnvNote,SourceGeo,SourceGeo2,ChannelDynamics,FlowForceMech,NearestSpringM,LoginAdded,LoginAddedDate,LoginChanged,LoginChangedDate,SurveyCount,AvgEOD,HighEOD,ImageHyperlink,SketchHyperlink,SiteHyperlink,ShortName,initialtimestamp,
249,Big Springs,US,AZ,Mohave,Hockey Puck Spring,15010002,,Tribal,Hualapai Tribal Land,,3,1,State,Imported in 2009 from AZ State Land Office,12,"A 1.5 mi walk on a steep, winding trail on the E side of Prospect Canyon near Hundred and Ninetythree Mile Creek.","This is a fracture controlled contact spring that emerges near the base of the coconino sandstone, in a small drainage. The plunge pool is strongly dominated by surface flow.Big Spring is a source spring. ","S26, HUAL008",GPS,NAD83,12,Earthmate PN-40,300938,3986190,35,59,59.532,-113,12,30.564,35.99987,-113.20849,1845,5,Coordinates were estimated by taking the measurement 50 meters SE of site and 70 meters upslope.,hanging garden,,sedimentary,sandstone,Coconino,subaerial,,contact spring,,runoff,gravity,4122,margueritehendrie,9/3/2011,,9/30/2013,14,2.9,10,http://springsdata.org/uploaded_files/survey/old_images/249_Big.jpg,http://springsdata.org/uploaded_files/survey/old_images/249_BigSketch.jpg,,Big,4/25/2014 12:11,10
909,Bootlegger Spring,US,AZ,Coconino,Mormon Mountain,15060202,,USFS,"Coconino NF, Mormon Lake RD",Coconino,3,1,Geonames,Imported from USGS Geonames,11,From Munds Park travel east on W Pinewood Blvd to Mormon Lake Rd 5.75 mi. Continue on NF-700 for 0.8 mi before turning right on NF-91 to NF-91B for 1 mi. The spring is located 30 m east from the road on a hillslope 25 m up from the road.,"This site was imported from the SSI geodatabase, a compilation from multiple sources. The spring emerges from cutback along the road bed on FR 91B. Flow runs into a ditch along the road in a ponderosa, aspen, and oak forest.",,GPS,WGS84,12,Garmin Oregon 650,450846,3863400,34,54,42.66,-111,32,17.124,34.91185,-111.53809,2257,4,,hillslope,,igneous,basalt,,subaerial,,seepage or filtration spring,,runoff,gravity,482,jeriledbetter,1/9/2012,jeriledbetter,12/4/2016,4,4.8,10,http://springsdata.org/uploaded_files/survey/-593578170/-593578170_rep.jpg,,,Bootlegger,4/25/2014 12:11,30
704,Boulder Spring,US,AZ,Coconino,Gunsight Point,15010003,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,NHD,,12,"Go on 423 and turn right on 236 at 363923X and 4054608Y. Go 40 m and turn south on 201.  Go on 201 for 1.2mi, then turn R(west) on 201A. Then go 3.7 mi on 201A (almost to end).  Pack trail starts at 358255X and 4054296Y. Follow pack trail north, 675 m to Little Spring. Continue following the drainage for 350 m to the site. Follow game trail on canyon left, then drop into the canyon  just above the spring. Elevation difference: 240 m. Spring UTMs were different from UTMs on map.","This small seepage rheocrene spring emerges from the Hermit Shale channel,  amidst a pile of very large limestone boulders in the upper drainage of Little Spring Canyon, northwest of Little Spring.",,GPS,NAD83,12,Earthmate PN-40,358037,4055142,36,37,52.536,-112,35,16.152,36.63126,-112.58782,1390,6,,rheocrene,,sedimentary,shale,Hermit Shale,subaerial,,seepage or filtration spring,,runoff,gravity,90,jeriledbetter,5/18/2011,jeriledbetter,5/5/2016,2,6,10,http://springsdata.org/uploaded_files/survey/old_images/704_BoulderUnnamed.jpg,http://springsdata.org/uploaded_files/survey/old_images/704_BoulderUnnamedSketch.jpg,,Boulder,4/25/2014 12:11,12
19243,Box Elder Real,US,AZ,Coconino,Sowats Spring,15010003,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,0,IR,Glenn Rink data,11,"On River right in Sowats Canyon about 360 meters upstream of ""Box Elder Spring""  This Spring is tucked up in a small side drainage.  It actually has Box Elders at it.",Water seeps out of many sites of a large moss covered boulder and flows down a channel at least 50m.,,map,NAD83,12,,366629,4045374,36,32,40.092,-112,29,24.216,36.54447,-112.49006,1600,,G. Rink took GPS coordinates on the ridge to the south they were as follows NAD 27 UTM Zone 12 366933 4045245,rheocrene,hanging garden,sedimentary,shale,Hermit Shale,subaerial,,seepage or filtration spring,,mixed,gravity,266,margueritehendrie,9/4/2013,margueritehendrie,2/13/2014,1,10,10,http://springsdata.org/uploaded_files/survey/1381332270/1381332270_rep.jpg,http://springsdata.org/uploaded_files/survey/old_images/19243_BoxElderRealSketch.jpg,,Box Elder Real,4/25/2014 12:11,12
379,Burro Spring,US,AZ,Coconino,House Rock Spring,15010001,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,NHD,Imported in 2010 from NHD Database,12,"The spring is about 25 meters up the canyon from where it is marked on the DRG, which marks the tank where water has been diverted.","This is a small alcove at the contact between the Hermit and Toroweap Formations.There does not appear to be Coconino Sandstone here, and the aquifer appears to be in the Toroweap Formation. The site may have been manipulated by adding a berm that forms a pool. The site and pool receive no direct sunlight. ",,GPS,NAD83,12,Earthmate PN-40,402531,4075002,36,48,57.096,-112,5,34.08,36.81586,-112.0928,1887,,,hanging garden,,sedimentary,shale,Hermit Shale,subaerial,,contact spring,,,gravity,3111,jeriledbetter,6/30/2009,jeriledbetter,9/3/2012,1,10,10,http://springsdata.org/uploaded_files/survey/old_images/379_Burro.jpg,http://springsdata.org/uploaded_files/survey/old_images/379_BurroSketch.jpg,,Burro,4/25/2014 12:11,12
750,Campbell Spring,US,AZ,Coconino,Williams South,15060202,,USFS,"Kaibab NF, Williams RD",Kaibab,3,1,NHD,Imported in 2010 from NHD Database,11,"From exit 157 on I-70, follow Devil Dog Rd for 0.7 mi and turn left on W Pine Springs Rd. for 1.2 mi. Make a sharp left on NF-798 and sharp right on S Hat Rand Rd. Continue south for 2 mi. Turn right on NF-274S for 0.7 mi and make sharp left on NF-42 for 2 mi. Spring is located 200 m due south. Access to this site is on a fairly rough road and the short hike is relatively easy.","In 2014, Campbell Spring was depicted on the DRG, and was said to be PFC by a surveying hydrologist. It is located in a channel, with several sources emerging from fractured rock. According to Kit Macdonald, the USFS has introduced northern leopard frog here.",,GPS,WGS84,12,Garmin Oregon 650,387455,3890392,35,9,0.504,-112,14,8.088,35.15014,-112.23558,2005,4,Averaged x3 in 1 hr,rheocrene,,igneous,basalt,basalt flow,subaerial,,seepage or filtration spring,,,gravity,1184,jeriledbetter,12/8/2010,lancemurray,3/17/2016,3,5,10,http://springsdata.org/uploaded_files/survey/2146221105/2146221105_rep.jpg,http://springsdata.org/uploaded_files/survey/2146221085/2146221085_skch.jpg,,Campbell,4/25/2014 12:11,12
19150,Cane Aqueduct Spring,US,AZ,Coconino,Cane,15010001,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,0,IR,Dr. Lawrence Stevens data,11,"Drive to Cane Ranch HQ, walk 1.5 km up to base of Coconino following aquiduct/pipe. The springs emerges from a ca. 12 m deep qanat at the Coconino-Hermit contact on creek right.","The spring was likely once a hanging garden, but not emerges from a 12 m-deep qanat at the Coconino SS-Hermit Shale contact.",,GPS,NAD83,12,Garmin E-trex,406287,4049108,36,34,58.224,-112,2,51.108,36.58284,-112.04753,1891,17,Taken  outside of overhang near qanat mouth,cave,anthropogenic,sedimentary,sandstone,Coconino,subaerial,,contact spring,fracture spring,spring,gravity,120,larrystevens,12/6/2012,margueritehendrie,1/23/2013,3,4.7,10,http://springsdata.org/uploaded_files/survey/old_images/19150_CaneAqueduct.jpg,http://springsdata.org/uploaded_files/survey/old_images/19150_CaneAqueductSketch.jpg,,Cane Aqueduct,4/25/2014 12:11,12
19246,Cane Hanging Garden,US,AZ,Coconino,Cane,15010001,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,0,IR,"Jeri Ledbetter, MGIS research",11,This spring is visible from the parking area on the road that runs from the Kane Ranch into the canyon.,"This hanging garden emerges along a 52-m reach at the base of Coconino Sandstone.It drips along the wall, some forming small pools in colluvial slope. The dry backwall with precipitate extends about 2 m above the wet backwall.",,GPS,NAD83,12,Garmin Oregon 650,406354,4049207,36,35,1.464,-112,2,48.444,36.58374,-112.04679,1900,5,"Taken at base of CS, GPS accuracy +/-S due to difference averaged x$ over 30 mins.",hanging garden,,sedimentary,sandstone,,subaerial,,contact spring,,spring,gravity,45,margueritehendrie,9/4/2013,margueritehendrie,2/13/2014,1,10,10,,http://springsdata.org/uploaded_files/survey/old_images/19246_CaneHangingGardenSketch.jpg,,Cane Hanging Garden,4/25/2014 12:11,12
707,Cane Springs north,US,AZ,Coconino,Cane,15010001,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,State,Imported in 2009 from AZ State Land Office,11,"From Cane Ranch headquarters, cross GCT land, go back into very large canyon. Follow it up about a mile. There are 2 springs on left up small side canyon, hard to find. In another mile at end of the canyon, follow pipeline berms to cliff face to springs. These have been heavily developed, bored out into caves.",This is an anthropogenic cave source that has been impounded in a cave emerging from the base of Coconino sandstone.,Uranium EIS 321,GPS,NAD83,12,,406367,4049420,36,35,8.376,-112,2,48.012,36.58566,-112.04667,1916,,Elevation from DEM; coordinates from DRG,cave,anthropogenic,sedimentary,sandstone,Coconino,subaerial,,contact spring,fracture spring,spring,gravity,96,margueritehendrie,3/21/2012,margueritehendrie,2/13/2014,4,4,10,,http://springsdata.org/uploaded_files/survey/old_images/707CanenorthSketch.jpg,,Cane North,4/25/2014 12:11,12
722,Cane Two Qanat,US,AZ,Coconino,Cane,15010001,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,NHD,,12,"May be more easily accessible from below, up Cane Canyon.",Cane Two Qanats is a contact hanging gardensprings complex at the Coconino SS/Hemit Shale contact at the mouth of Cane Canyon North Fork. Piping in both qanats diverts virtually all flows from these heavily manipulated springs.,"Cane Springs South, KANE002",GPS,NAD83,12,Garmin Oregon 650,406414,4049336,36,35,5.676,-112,2,46.068,36.58491,-112.04613,1900,3,Elevation and Coordinates from GPS unit,hanging garden,,sedimentary,sandstone,Coconino/Hermit,subaerial,,contact spring,,,gravity,96,jeriledbetter,12/5/2010,margueritehendrie,2/13/2014,1,10,10,,http://springsdata.org/uploaded_files/survey/old_images/722_CaneTwoQanatSketch.jpg,,Cane Two Qanat,4/25/2014 12:11,12
373,Castle Spring,US,AZ,Coconino,Big Springs,15010003,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,NHD,Imported in 2010 from NHD Database,12,"Central Kaibab Plateau, west side, in Castle Canyon, one mile south of Big Springs Administrative Site","This hillslope/hanging garden has been heavily manipulated with a spring box, a trough, and piping.The sources lie beneath an extensive sandstone overhang in a rock shelter. Such an isolation budget should have made the site attractive to prehistoric peoples. ","KNF-21, CAST002",GPS,NAD83,12,Garmin,379993,4049811,36,35,10.428,-112,20,29.364,36.58623,-112.34149,2195,,"GPS was taken at the base of polygon C, as it was not possible to get a reading at the source under the overhang.",hillslope,hanging garden,sedimentary,sandstone,Coconino,subaerial,,fracture spring,,spring,gravity,1897,jeriledbetter,6/9/2009,lancemurray,5/23/2016,6,5.7,10,http://springsdata.org/uploaded_files/survey/old_images/373_Castle_1339688063.jpg,http://springsdata.org/uploaded_files/survey/old_images/373_CastleSketch_1339688063.jpg,,Castle,4/25/2014 12:11,12
330,Crane Lake,US,AZ,Coconino,Telephone Hill,15010001,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,IR,Dr. Lawrence Stevens data,12,"Central Kaibab Plateau, approximately 16 miles south of Jacobs Lake 100 meters east of Hwy 67.","According to Larry Stevens, this lake may be fed by an ephemeral spring, as it dried up in 2000 and 2002. The spring appears to discharge directly into the lake. There is evidence of overflow into the depression next to the lake, but there is no other outflow channel.",KNF-2,GPS,NAD83,12,Garmin,397131,4043341,36,31,47.712,-112,8,56.688,36.52992,-112.14908,2605,,lat/long coordinates and elev from USGS,limnocrene,,sedimentary,limestone,Kaibab Limestone,subaqueous-lentic freshwater,,seepage or filtration spring,,subaqueous,gravity,3514,,12/30/2010,gghardwick,5/2/2016,15,3.8,10,http://springsdata.org/uploaded_files/survey/old_images/330_CraneLake_1293734428.jpg,http://springsdata.org/uploaded_files/survey/old_images/330_CraneLakeSketch_1293734428.jpg,,Crane Lake,4/25/2014 12:11,12
746,Dow Spring,US,AZ,Coconino,Garland Prairie,15060202,,USFS,"Kaibab NF, Williams RD",Kaibab,3,1,State,Imported in 2009 from AZ State Land Office; Other DB from AZDWR,11,"From exit 178 on I-40, travel south on County Rd 141 (E Parks Rd) toward Garland Prairie Rd for 0.08 mi. Continue south on S Garland Prairie Rd (CR-141) for 9.14 mi. Turn left and travel 0.58 mi south on S Thomas Loop Rd and park in a small lot.  Hike due west 260 m along a trail then drop into the drainage.","This named site is located in the headwaters of Sycamore Canyon, emerging from a basalt outcrop on the side of the drainage. Adjacent to the Sycamore trail, it is about 250 m from a small parking area. It is depicted on the DRG, and has been piped. The outflow is subject to surface runoff.",,GPS,WGS84,12,Garmin Oregon 650,410219,3890676,35,9,17.964,-111,59,8.628,35.15499,-111.98573,2058,3,"Elevation from 10m DEM, coordinates from DRG. Flora survey UTMs were 3890674N, 410222E",hillslope,rheocrene,igneous,basalt,,subaerial,,fracture spring,,mixed,gravity,221,jeriledbetter,12/8/2010,gghardwick,5/17/2016,6,5,10,http://springsdata.org/uploaded_files/survey/old_images/746_Dow.jpg,,,Dow,4/25/2014 12:11,12
84,Dripping Springs,US,AZ,Coconino,Grand Canyon,15010002,,NPS,Grand Canyon NP,,15,1,Geonames,,12,Hermit trail to Dripping Springs trail. Training trip. Vegetation foliar cover was estimated in the field and converted to cover classes in the database. Veg strata cover was estimated from the species cover data (not recorded in the field). ,Dripping springs emerges as a hanging garden type spring from the Coconino Sandstone in the Hermit Creek area.The spring has a sub-aerial emergence environment and the spring orifice type is a contact spring.,GRCA_S0001; EREM002,map,NAD83,12,,388089,3991593,36,3,44.928,-112,14,33.54,36.06248,-112.24265,1738,,,hanging garden,,sedimentary,sandstone,Coconino,subaerial,,contact spring,,runoff,gravity,1534,larrystevens,10/1/2006,jeriledbetter,9/6/2013,7,3.1,10,http://springsdata.org/uploaded_files/survey/old_images/84_Dripping.jpg,http://springsdata.org/uploaded_files/survey/old_images/84_DrippingSketch.jpg,,Dripping,4/25/2014 12:11,7
762,Dry Park Lake,US,AZ,Coconino,De Motte Park,15010003,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,PUB,Brown & Moran 1979,11,"Dustin Burger said these sometimes go dry, but they hold water longer than one would expect. Go down 22, then head south on 226.","This site was included in the Brown and Moran study (1970s), but is not included on any other layer and is labeled on the DRG as &quot;Dry Park Lakes&quot;. It is a natural pond or spring and may or may not be groundwater dependent.It is in a natural depression on the surface of the Kaibab Formation.",,GPS,NAD83,12,Trimble XT,389416,4031187,36,25,10.236,-112,14,0.636,36.41951,-112.23351,2553,7,Coordinates were taken from GeoXT.,limnocrene,,sedimentary,limestone,Kaibab Limestone,subaqueous-estuarine,,seepage or filtration spring,,,gravity,5183,jeriledbetter,7/7/2011,jeriledbetter,1/11/2016,2,6,10,http://springsdata.org/uploaded_files/survey/old_images/762_DryParkLake.jpg,http://springsdata.org/uploaded_files/survey/old_images/762_DryParkLakeSketch.jpg,,Dry Park Lake,4/25/2014 12:11,12
164125,Final View Spring,US,AZ,Mohave,Columbine Falls,15010005,,NPS,Grand Canyon NP,,3,1,IR,SSI,12,,,,GPS,WGS84,12,Garmin Oregon 650,236054,4001499,36,7,20.316,-113,55,57.792,36.12231,-113.93272,488,,,hanging garden,,sedimentary,,,,,,,,gravity,155,monicaswihart,6/24/2014,jeriledbetter,10/27/2016,2,6,10,http://springsdata.org/uploaded_files/survey/2146221042/2146221042_rep.jpg,http://springsdata.org/uploaded_files/survey/2146221042/2146221042_skch_1.jpg,,Final View,6/24/2014 14:32,7
832,Glenn Rink Spring,US,AZ,Coconino,Dog Point,15010001,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,0,IR,Glenn Rink data,11,"From Crystal Spring go to 402730x, 4028046y on the rim, then go down a steep slope about 500 vertical feet.","This is a hillslope spring on a steep, heavily forested slope. There is a narrow Coconino Sandstone ampitheatre about 100 meters below the source that originates in Toroweap Limestone. Due to the surrounding terrain, this site has receieved very little human visitation. Although it provides much of the base flow of North Canyon Creek, it appears on no maps; nor was it included in any springs layer. It was first located by Glenn Rink in June 2011. ",,GPS,NAD83,12,Earthmate PN-60,402864,4028224,36,23,39.336,-112,4,59.376,36.39426,-112.08316,2560,6,,hillslope,rheocrene,sedimentary,limestone,Toroweap,subaerial,,fracture spring,contact spring,spring,gravity,376,jeriledbetter,7/7/2011,margueritehendrie,1/23/2013,3,5.7,10,http://springsdata.org/uploaded_files/survey/old_images/832_GlennRink.jpg,http://springsdata.org/uploaded_files/survey/old_images/832_GlennRinkSketch.jpg,,Glenn Rink,4/25/2014 12:11,12
